BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,FEDERAL EMERGENCY SHELTER GRNT,HOUSING AND COMMUNITY INVESTMENT,103108.00,228529.27,736659.82,0.00,0.00,839767.82,0.00,0.00,611238.55,,517,43T143,43
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC SURVEYS,100000.00,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,SPECIAL,59C,94TV05,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,CHILDREN'S SAVING ACCT,0.00,,330000.00,0.00,0.00,330000.00,0.00,0.00,330000.00,,424,43T872,43
2021,NON-DEPARTMENTAL - GENERAL,GENERAL FUND (GENERAL BUDGET),EMERGENCY OPERATIONS FUND,773068.00,3391174.63,2682529.00,0.00,0.00,3455597.00,0.00,0.00,64422.37,SPECIAL,100,620392,62
2021,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP CONGREGATE MEALS III C1,0.00,353541.00,456242.00,0.00,0.00,456242.00,102701.00,0.00,0.00,,395,02TA07,2
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,MEDIAN ISLAND MAINTENANCE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,59C,94TG02,94
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,YUCCA POCKET PARK-CDD,0.00,,73098.19,0.00,0.00,73098.19,0.00,0.00,73098.19,,205,88410J,88
2021,AIRPORTS,AIRPORT REVENUE,TRANSPORTATION,0.00,90711.64,0.00,0.00,0.00,0.00,0.00,0.00,-90711.64,,700,043310,4
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LA AL FRESCO PROGRAM,0.00,946462.03,1684290.20,0.00,0.00,1684290.20,0.00,509588.82,228239.35,,59C,94TV59,94
2021,TRANSPORTATION,LOCAL TRANSPORTATION,GENERAL SERVICES,0.00,80136.82,80136.82,0.00,0.00,80136.82,0.00,0.00,0.00,,207,94T140,94
2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-VOLUNTEER PROGRAM,0.00,,10.00,0.00,0.00,10.00,0.00,0.00,10.00,,859,06017F,6
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,PRINTING AND BINDING,58700.00,15547.00,0.00,0.00,0.00,58700.00,41953.00,0.00,1200.00,,804,642120,64
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,WORKFORCE INNOVATION OPPORTUNITY ACT,WIOA RAPID RESPONSE SUPPORTING PROGRAM ACTIVITIES,0.00,54997.91,311127.00,0.00,0.00,311127.00,146129.09,0.00,110000.00,,57W,22T594,22
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION EQUIPMENT,0.00,,289959.86,47000.00,0.00,336959.86,267374.66,500.00,69085.20,EQUIPMENT,100,007340,40
2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,CD 14 ARROYO SECO PALLET SHELTERS,0.00,,732769.00,0.00,0.00,732769.00,0.00,0.00,732769.00,,63M,10T752,10
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,UNAPPROPRIATED BALANCE,0.00,,869157.00,0.00,0.00,869157.00,0.00,0.00,869157.00,,424,43T158,43
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),PENSIONS SAVINGS PLANS,2716455.00,1159008.85,0.00,0.00,970367.00,1746088.00,0.00,0.00,587079.15,SPECIAL,100,000577,56
2021,WATER AND POWER,ARRA-EECBG FUND - DWP,"COMMUNITY OUTREACH, PUB EDU GR",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J5G,983005,98
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,GENERAL FUND- VARIOUS PROGRAM,HIRE LA 16-24 YOUTH EMPLOYMENT - CITY GF,0.00,,165000.00,0.00,0.00,165000.00,0.00,0.00,165000.00,,551,22T817,22
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL & TRAINING,40000.00,,0.00,0.00,0.00,40000.00,0.00,0.00,40000.00,,540,94T314,94
2021,PUBLIC WORKS - BOARD OF PUBLIC WORKS,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,13166866.00,11769477.35,8607163.27,1729000.00,666571.37,22836457.90,9187077.52,0.00,1879903.03,EXPENSES,100,003040,74
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),GENERAL,50000.00,,0.00,0.00,1778.00,48222.00,0.00,0.00,48222.00,SPECIAL,100,580001,58
2021,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES III B,0.00,2461887.00,3477687.00,0.00,0.00,3477687.00,1015800.00,0.00,0.00,,395,02TA01,2
2021,CITY ATTORNEY,CITY ATTORNEY GRANTS,JOINT POWERS VERIFICATION UNIT,0.00,1327.62,246534.00,0.00,0.00,246534.00,63.46,0.00,245142.92,,368,12T501,12
2021,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,IRS SEC501 EMPLOYEE BENEF TRUS,PAYMENTS - PROVIDERS,0.00,374347978.50,374626390.25,0.00,0.00,374626390.25,0.00,0.00,278411.75,,899,613333,61
2021,CULTURAL AFFAIRS,ARTS DEVELOPMENT FEE TRUST FND,2580 W VENICE BLVD 90019 PMT 06158,0.00,,3907.40,0.00,0.00,3907.40,0.00,0.00,3907.40,,516,30TD49,30
2021,NON-DEPARTMENTAL - GENERAL,GENERAL FUND (GENERAL BUDGET),901 OLYMPIC NORTH HOTEL TRUST FUND,3860000.00,3538333.37,0.00,0.00,0.00,3860000.00,0.00,0.00,321666.63,SPECIAL,100,62056N,62
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SMART TECHNOLOGY FOR DASH AND COMMUTER EXPRESS BUSES,5400000.00,,0.00,0.00,0.00,5400000.00,0.00,0.00,5400000.00,SPECIAL,385,94TA03,94
2021,WATER AND POWER,WS RB 2009 SERIES B BOND SERVC,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,M9E,988210,98
2021,FIRE,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,223755.00,105840.19,0.00,0.00,32927.00,190828.00,10406.41,0.00,74581.40,EXPENSES,100,003030,38
2021,CITY CLERK,FIGUEROA CORRIDOR BUS IMPROVE,RECOVERY COSTS,0.00,29442.67,29442.67,0.00,0.00,29442.67,0.00,0.00,0.00,,40S,140299,14
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,DCT AWPF PRIMARY EQUALIZATION BASIN,10382000.00,,-1000000.00,0.00,0.00,9382000.00,0.00,0.00,9382000.00,,70W,50TJHP,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOMELESS EFFORTS - COUNTY FUNDING AGREEMENT FUND,SAFE PARKING - 19610 HAMILTON AVE,0.00,44595.00,135869.00,0.00,0.00,135869.00,91274.00,0.00,0.00,,63Q,43TA07,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MICLA LEASE REV COM PAPER NTES,CAPITAL PROGRAM - BUREAU OF STREET SERVICES,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,298,50TBSS,50
2021,RECREATION AND PARKS,RECREATION AND PARKS,CONTRACTUAL SERVICES,14139294.00,7472416.70,2240912.00,0.00,0.00,16380206.00,4751943.95,25520.00,4102949.09,EXPENSES,302,003040,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,STORMWATER POLLUTION ABATE FND,SLAUSON GREEN ALLEY PROJECT,435567.00,,0.00,0.00,0.00,435567.00,0.00,0.00,435567.00,,511,50TSAY,50
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,WORKFORCE INNOVATION OPPORTUNITY ACT,CONTROLLER,35409.00,38295.00,2886.00,0.00,0.00,38295.00,0.00,0.00,0.00,,57W,22T126,22
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),HOMELESS SHELTER PROGRAM,28247646.00,,0.00,0.00,28247646.00,0.00,0.00,0.00,0.00,SPECIAL,100,000826,56
2021,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2014 SERIES E, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,0.00,3475000.00,0.00,0.00,0.00,0.00,0.00,0.00,-3475000.00,,J6V,988110,98
2021,MAYOR,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,1799210.00,7102168.17,293893.72,5512185.00,1171.60,7604117.12,0.00,0.00,501948.95,SALARIES AND BENEFITS,100,001070,46
2021,NEIGHBORHOOD EMPOWERMENT,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,4400.00,,0.00,0.00,0.00,4400.00,0.00,0.00,4400.00,EXPENSES,100,006020,47
2021,MAYOR,FY12 AND FY13 SECURING THE CITIES GRANT FUND,MAYOR,0.00,,441399.29,0.00,0.00,441399.29,0.00,0.00,441399.29,,55X,46T146,46
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC SIGNAL SUPPLIES,0.00,387937.14,2863726.37,0.00,0.00,2863726.37,1194139.41,0.00,1209292.85,SPECIAL,59C,94T800,94
2021,GENERAL SERVICES,MICLA LEASE REV COM PAPER NTES,CAPITAL REPAIR -POLICE ADMN BLDG,0.00,78474.27,280000.00,0.00,0.00,280000.00,199661.56,0.00,1864.17,,298,40T25M,40
2021,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES B, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,0.00,7155000.00,0.00,0.00,0.00,0.00,0.00,0.00,-7155000.00,,J7J,988110,98
2021,CULTURAL AFFAIRS,ARTS DEVELOPMENT FEE TRUST FND,ARTS PROJECTS,3994108.00,,0.00,0.00,0.00,3994108.00,0.00,0.00,3994108.00,SPECIAL,516,30TB03,30
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,FEDERAL EMERGENCY SHELTER GRNT,TINY HOME OPERATIONS - 6700 VANALDEN AVE,0.00,,2583060.00,0.00,0.00,2583060.00,2583060.00,0.00,0.00,,517,43TA33,43
2021,HARBOR,HARBOR REVENUE,ADDTL INTRFD OPERATING TRSFR,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,702,422000,42
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),BENEFITS HIRING HALL,0.00,70000.00,0.00,250000.00,0.00,250000.00,0.00,0.00,180000.00,SALARIES AND BENEFITS,100,001120,94
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,LILLIAN A. FRANSE BEQUEST,0.00,,2230.94,0.00,0.00,2230.94,0.00,0.00,2230.94,,205,88620F,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",WILSHIRE AREA SYSTEM SEWER REHABILITATION,3517000.00,,-3517000.00,0.00,0.00,0.00,0.00,0.00,0.00,,75R,50TA6C,50
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BIKESHARE OPERATIONS AND MAINTENANCE,5000000.00,4065515.44,0.00,0.00,0.00,5000000.00,0.01,0.00,934484.55,SPECIAL,385,94TM05,94
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,MAYOR'S FUND FOR LOS ANGELES FUND,CITY ATTORNEY,0.00,,596.00,0.00,0.00,596.00,0.00,0.00,596.00,,62E,22T112,22
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),CITYWIDE EXHIBITS,175000.00,25466.78,-38795.00,0.00,0.00,136205.00,5820.20,0.00,104918.02,SPECIAL,100,009849,30
2021,EMPLOYEE RELATIONS BOARD,GENERAL FUND (GENERAL BUDGET),TRAVEL,5000.00,,0.00,0.00,2000.00,3000.00,0.00,0.00,3000.00,EXPENSES,100,002130,36
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST LIGHTING MAINTENANCE ASSESS,BUREAU OF STREET LIGHTING,31851724.00,1950000.00,-1905854.57,0.00,0.00,29945869.43,0.00,0.00,27995869.43,,347,50T184,50
2021,NON-DEPARTMENTAL - GENERAL,GENERAL FUND (GENERAL BUDGET),TITLE VII OLDER AMERICANS ACT,0.00,3017.00,0.00,3017.00,0.00,3017.00,0.00,0.00,0.00,SPECIAL,100,620564,62
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,RENT STABILIZATION TRUST,FAIR HOUSING,330000.00,12421.23,0.00,0.00,0.00,330000.00,317578.77,0.00,-0.00,,440,43T207,43
2021,CITY ADMINISTRATIVE OFFICER,PERSHING SQUARE SPECIAL TRUST,CAPITAL FINANCE ADMINISTRATION,523500.00,479875.00,0.00,0.00,0.00,523500.00,0.00,0.00,43625.00,,876,10T153,10
2021,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,1100.00,,0.00,0.00,0.00,1100.00,0.00,0.00,1100.00,EXPENSES,100,006020,33
2021,CITY ETHICS COMMISSION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,5000.00,260.50,0.00,0.00,0.00,5000.00,4739.50,0.00,0.00,EXPENSES,100,002120,17
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,GENERAL SERVICES,2301976.00,3133417.19,1023272.56,0.00,0.00,3325248.56,0.00,0.00,191831.37,,48R,08T140,8
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,15941.61,0.00,0.00,0.00,146095.00,8934.43,0.00,121218.96,EXPENSES,100,004430,94
2021,CITY PLANNING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,9270942.00,3277512.16,50095.00,0.00,927798.83,8393238.17,1230795.19,0.00,3817546.29,EXPENSES,100,003040,68
2021,POLICE,US DEPT OF JUSTICE ASSET FORFE,GENERAL SERVICES,0.00,15944.47,15944.47,0.00,0.00,15944.47,0.00,0.00,0.00,,44D,70T140,70
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUREAU OF ENGINEERING,20000.00,18333.37,-600.00,0.00,0.00,19400.00,0.00,0.00,1066.63,,48R,08T178,8
2021,BUILDING AND SAFETY,CERTIFIED ACCESS SPECIALIST CERTIFICATION AND TRAINING FUND,DISABILITY,0.00,391843.00,391843.00,0.00,0.00,391843.00,0.00,0.00,0.00,,60B,08T165,8
2021,CITY PLANNING,PLANNING CASE PROCESSING SPREV,BUILDING AND SAFETY,441064.00,,-441064.00,0.00,0.00,0.00,0.00,0.00,0.00,,52D,68108T,68
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION MATERIALS,65216.00,7393106.92,25358990.68,2080310.00,103027.16,27401489.52,3238717.76,137428.21,16614471.81,EXPENSES,100,003180,40
2021,MAYOR,FY20 UASI HOMELAND SECURITY GRANT FUND,LAWA GRANT ALLOCATION,0.00,,248406.00,0.00,0.00,248406.00,0.00,0.00,248406.00,,64E,46T904,46
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,STREET FURNITURE REVENUE FUND,GENERAL SERVICES,0.00,128940.46,128940.46,0.00,0.00,128940.46,0.00,0.00,0.00,,43D,50T140,50
2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,32600.00,1298.68,0.00,0.00,25000.00,7600.00,6301.32,0.00,0.00,EXPENSES,100,002120,10
2021,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2016 SERIES A, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,0.00,3865000.00,0.00,0.00,0.00,0.00,0.00,0.00,-3865000.00,,J7B,988110,98
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,CHILD CARE-RENOVATION & REPAIR,0.00,,21.75,0.00,0.00,21.75,0.00,0.00,21.75,,205,88681F,88
2021,PUBLIC WORKS - BOARD OF PUBLIC WORKS,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,10347.00,74622.52,0.00,76300.00,0.00,86647.00,0.00,0.00,12024.48,SALARIES AND BENEFITS,100,001090,74
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),UTILITIES EXPENSE PRIVATE COMPANY,4000000.00,3525761.91,0.00,0.00,126005.00,3873995.00,348233.09,0.00,0.00,EXPENSES,100,003330,40
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,HARBOR DIST RECREATION CENTER,0.00,12767.55,309437.69,0.00,0.00,309437.69,68.93,0.00,296601.21,,301,88031M,88
2021,WATER AND POWER,ARRA-EECBG FUND - DWP,ENHANCED UTILITY INCENTIVES,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J5G,983002,98
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,ALTERATIONS AND IMPROVEMENTS,5000000.00,28141.42,0.00,0.00,0.00,5000000.00,371858.58,0.00,4600000.00,SPECIAL,48R,08T606,8
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CAPITAL FUND,CLEAN WATER NETWORK SERVERS CAPITAL EQUIP REPLACEMENT PROG,1000000.00,59801.67,0.00,0.00,0.00,1000000.00,8349.87,0.00,931848.46,,761,50TGC2,50
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,ROSECRANS REC CTR,0.00,,14802.77,0.00,0.00,14802.77,0.00,0.00,14802.77,,205,88CD03,88
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,PICO UNION PARK,0.00,,2459.71,0.00,0.00,2459.71,0.00,0.00,2459.71,,205,88VC01,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,STORMWATER POLLUTION ABATE FND,MAYOR,27053.00,24798.57,0.00,0.00,0.00,27053.00,0.00,0.00,2254.43,,511,50T146,50
2021,TRANSPORTATION,PERMIT PARKING PROG REV FD,BUREAU OF STREET SERVICES,0.00,136021.00,136021.00,0.00,0.00,136021.00,0.00,0.00,0.00,,49C,94T186,94
2021,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,EL PUEBLO DE LA HISTOR MONUMEN,EL PUEBLO DE LOS ANGELES,1625240.00,1861296.00,236056.00,0.00,0.00,1861296.00,0.00,0.00,0.00,,737,33133T,33
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,EXPO CENTER FACILITY RENTAL,0.00,36709.32,204211.08,0.00,0.00,204211.08,0.00,0.00,167501.76,,302,89805M,89
2021,CITY ATTORNEY,GENERAL FUND (GENERAL BUDGET),LITIGATION,5195448.00,4193801.03,70000.00,192185.60,300000.00,5157633.60,770123.40,0.00,193709.17,EXPENSES,100,004200,12
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,W VALLEY DIST RECREATION CTR,0.00,13617.81,391066.44,0.00,0.00,391066.44,71.72,0.00,377376.91,,301,88041M,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CAPITAL FUND,REIMBURSEMENT OF GENERAL FUND COSTS,40868556.00,34057130.00,0.00,0.00,0.00,40868556.00,0.00,0.00,6811426.00,,761,50T299,50
2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,100000.00,79865.08,0.00,0.00,0.00,100000.00,0.00,0.00,20134.92,SALARIES AND BENEFITS,100,001090,13
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,65186688.00,56124280.06,-394384.82,0.00,167049.00,64625254.18,0.00,0.00,8500974.12,SALARIES AND BENEFITS,100,001010,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,GRIFFITH PARK-PECAN GROVE DEV,0.00,,112296.58,0.00,0.00,112296.58,0.00,0.00,112296.58,,205,88980L,88
2021,CITY ATTORNEY,CITY ATTORNEY GRANTS,VICTIM ASSISTANCE PROGRAM,0.00,2328.69,2183466.00,0.00,0.00,2183466.00,2960.57,0.00,2178176.74,,368,12T311,12
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,VERMONT SQUARE PARK IMPROVEMENTS,0.00,85004.10,300000.00,0.00,0.00,300000.00,0.00,0.00,214995.90,,424,43T998,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CAPITAL FUND,PERSONNEL,432195.00,396176.00,0.00,0.00,0.00,432195.00,0.00,0.00,36019.00,,761,50T166,50
2021,CULTURAL AFFAIRS,ARTS DEVELOPMENT FEE TRUST FND,960 W 7TH ST 90017 90017 PMT 03720,0.00,,5628.00,0.00,0.00,5628.00,0.00,0.00,5628.00,,516,30TD55,30
2021,PUBLIC WORKS - STREET SERVICES,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,436244.00,138115.26,-34000.00,34000.00,30426.15,405817.85,0.00,0.00,267702.59,EXPENSES,100,003310,86
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 2 COUNCIL FEE SUBSIDY ACCT,32700.00,,56900.81,0.00,0.00,89600.81,0.00,0.00,89600.81,SPECIAL,100,000859,56
